glassdoor_balance,glassdoor_values,average,glassdoor_friend,glassdoor_opportunity,glassdoor_leadership,ceo_vs_market_cap,repetition,empathic_words,skips,major_scandal,i_we_you,half_hour_minute_response_rate,carbon_sector_score,glassdoor_comp,ten_minute_response_rate,glassdoor_ceo,carbon_country_score,proportion_women,stock_phrases,company,answers,five hour response rate
3,3,-0.8,0.54,2.8,2.7,0.0004096503,0.4132684114,0.3684210526,46.0,0,0.5877192982,0.2307692308,118.8632177,2.5,0.1346153846,0.61,2291,0.3,0.0087719298,Abercrombie & Fitch Co.,5.0,0.75
3.1,3.7,0.4444444444444444,0.80,3.6,3.1,0.0044077686,0.17112922,0.0225225225,42.0,0,0.1711711712,0,2.857809518,3.4,0,0.93,4284,0.384615385,0,Accenture PLC,9.0,0
3.1,3.4,0.0,0.80,3.2,3.5,0.0037215194,0.133126935,0.0434782609,51.0,0,0.0869565217,0,348.4482954,3.2,0,1.00,579,0.25,0,Aditya Birla Group,0.0,0
3.4,3.2,0.0,0.29,3,3,0.0862357956,0,0,50.0,1,0,0,2014.275374,3.1,0,0.35,435,0,0,Air China Limited,1.0,0
3.2,3.8,-0.5,0.95,3.9,3.3,0.0218716955,0.1439393939,0.125,47.0,0,0.5,0,33.24373478,4,0,0.96,435,0.090909091,0,Alibaba Group Holding Ltd ADR,4.0,0
4,4.4,1.25,0.91,4,3.9,0.0053996368,0.6783608914,0.2516046213,39.0,1,0.783055199,0.0144927536,33.24373478,4.5,0,0.99,2291,0.25,0,Alphabet Inc,12.0,0.1884057971
2.7,3.3,-0.5,0.64,3.4,3,0.2226102364,0.5756651623,0.491642254,45.0,0,0.7454764777,0.3472693032,33.24373478,3.6,0.0998116761,0.81,2291,0.181818182,0.0921936929,Amazon.com Inc,6.0,0.9664783427
3.1,3.1,-0.5,0.68,3.4,2.8,0.00160897,0.5970451011,0.3894389439,47.0,0,0.8458551738,0.6403162055,2014.275374,3.3,0.3589651455,0.61,2291,0.153846154,0.0421277422,American Airlines Inc,4.0,0.9996406755
3.8,3.8,0.3,0.76,3.3,3.2,0.0027005801,0.5985901704,0.2273972603,41.0,0,0.504109589,0.2555555556,4.454901804,3.5,0.0777777778,0.86,2291,0.230769231,0.1890410959,American Express Company,10.0,0.7888888889
3.2,2.7,-0.5,0.43,2.7,2.4,0.0049763742,0.3035887488,0.350877193,47.0,0,0.6140350877,0,4.454901804,3.2,0,0.48,2291,0.1875,0.298245614,American International Group Inc,4.0,0.4545454545
3.5,3.7,0.3333333333333333,0.72,3.2,2.9,0.003209111,0.1681034483,0.0666666667,48.0,1,0.2666666667,0,348.4482954,3.8,0,0.84,4284,0.2,0,Anglo American PLC,3.0,0.5
3.4,4.2,0.2,0.82,3.5,3.6,0.0595115494,0.6241365059,0.3212560386,46.0,1,0.8754940711,0.8592741935,33.24373478,4.1,0.4185483871,0.95,2291,0.25,0.0030742205,Apple Inc,5.0,0.9681451613
3.2,3.1,0.0,0.60,3,2,0.0058038856,0,0,51.0,0,0,0,118.8632177,2.4,0,0.77,4284,0.222222222,0,Associated British Foods PLC,0.0,0
3.6,3.5,-2.0,0.67,3.2,3,0.0067119062,0.3012244898,0.2469135802,50.0,0,0.5679012346,0,15.62358106,3.8,0,0.82,4284,0.333333333,0.2222222222,AstraZeneca PLC,1.0,0
2.8,3.2,-0.6,0.63,3.2,2.8,0.009925533,0.4392991239,0.2161016949,46.0,1,0.6440677966,0.1904761905,6.814095103,3.8,0.0952380952,0.73,2291,0.307692308,0.0211864407,AT&T Inc,5.0,0.5952380952
3.6,3.5,0.5,0.81,3.5,3.4,0.0066433175,0.414148015,0.5102040816,47.0,1,0.749271137,0.2066115702,43.94237737,4.1,0.1157024793,1.00,3621,0.142857143,0.0816326531,Audi AG,4.0,0.6033057851
3.7,3.3,0.0,0.63,3,3,0.0028174396,0.4036102211,0.3632148377,49.0,0,0.7480680062,0.7434782609,4.454901804,3.3,0.3913043478,0.71,4284,0.214285714,0.0340030912,Aviva PLC,2.0,0.8652173913
